utc_timestamp,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_grid_export,DE_KN_residential3_grid_import,DE_KN_residential3_pv,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine
2014-12-20T16:00:00Z,15.29,12.996,6.254,,,,0.924,9.291
2014-12-20T17:00:00Z,15.358,12.999,6.297,,,,0.95,9.291
2014-12-20T18:00:00Z,15.428,13.001,6.34,,,,0.963,9.291
2014-12-20T19:00:00Z,15.497,13.004,6.342,,,,0.977,9.291
2014-12-20T20:00:00Z,15.566,13.006,6.384,,,,1.003,9.291
2014-12-20T21:00:00Z,15.636,13.009,6.427,,,,1.003,9.291
2014-12-20T22:00:00Z,15.678,13.011,6.43,,,,1.03,9.291
2014-12-20T23:00:00Z,15.702,13.014,6.473,,,,1.048,9.291
2014-12-21T00:00:00Z,15.772,13.017,6.516,,,,1.056,9.291
2014-12-21T01:00:00Z,15.837,13.019,6.518,,,,1.082,9.291
2014-12-21T02:00:00Z,15.907,13.022,6.561,,,,1.088,9.291
2014-12-21T03:00:00Z,15.972,13.024,6.605,,,,1.109,9.291
2014-12-21T04:00:00Z,16.037,13.027,6.607,,,,1.131,9.291
2014-12-21T05:00:00Z,16.101,13.029,6.65,,,,1.135,9.291
2014-12-21T06:00:00Z,16.166,13.032,6.694,,,,1.161,9.291
2014-12-21T07:00:00Z,16.231,13.034,6.696,,,,1.17,9.291
2014-12-21T08:00:00Z,16.296,13.037,6.739,,,,1.187,9.291
2014-12-21T09:00:00Z,16.388,13.039,6.78,,,,1.213,9.291
2014-12-21T10:00:00Z,16.482,13.042,6.784,,,,1.214,9.292
2014-12-21T11:00:00Z,16.586,13.044,6.827,,,,1.24,9.292
2014-12-21T12:00:00Z,16.677,13.047,6.867,,,,1.254,9.292
2014-12-21T13:00:00Z,16.746,13.05,6.872,,,,1.267,9.292
2014-12-21T14:00:00Z,16.816,13.052,6.915,,,,1.292,9.292
2014-12-21T15:00:00Z,16.885,13.055,6.952,,,,1.293,9.292
2014-12-21T16:00:00Z,16.949,13.057,6.96,,,,1.319,9.292
2014-12-21T17:00:00Z,17.014,13.06,7.003,,,,1.335,9.292
2014-12-21T18:00:00Z,17.079,13.062,7.04,,,,1.345,9.292
2014-12-21T19:00:00Z,17.145,13.065,7.048,,,,1.37,9.292
2014-12-21T20:00:00Z,17.211,13.068,7.091,,,,1.372,9.292
2014-12-21T21:00:00Z,17.278,13.07,7.125,,,,1.396,9.292
2014-12-21T22:00:00Z,17.345,13.073,7.136,,,,1.414,9.292
2014-12-21T23:00:00Z,17.412,13.075,7.18,,,,1.423,9.292
2014-12-22T00:00:00Z,17.483,13.077,7.213,,,,1.448,9.292
2014-12-22T01:00:00Z,17.55,13.08,7.225,,,,1.448,9.292
2014-12-22T02:00:00Z,17.622,13.083,7.268,,,,1.474,9.292
2014-12-22T03:00:00Z,17.689,13.085,7.299,,,,1.491,9.292
2014-12-22T04:00:00Z,17.755,13.088,7.313,,,,1.499,9.292
2014-12-22T05:00:00Z,17.821,13.09,7.356,,,,1.525,9.292
2014-12-22T06:00:00Z,17.887,13.093,7.387,,,,1.525,9.292
2014-12-22T07:00:00Z,17.954,13.095,7.401,,,,1.55,9.292
2014-12-22T08:00:00Z,18.022,13.098,7.444,,,,1.566,9.292
2014-12-22T09:00:00Z,18.099,13.101,7.474,,,,1.576,9.292
2014-12-22T10:00:00Z,18.203,13.103,7.489,,,,1.601,9.292
2014-12-22T11:00:00Z,18.308,13.106,7.532,,,,1.602,9.292
2014-12-22T12:00:00Z,18.412,13.108,7.562,,,,1.628,9.293
2014-12-22T13:00:00Z,18.521,13.111,7.577,,,,1.644,9.293
2014-12-22T14:00:00Z,18.62,13.113,7.62,,,,1.654,9.293
2014-12-22T15:00:00Z,18.691,13.116,7.652,,,,1.68,9.293
2014-12-22T16:00:00Z,18.755,13.119,7.665,,,,1.682,9.293
2014-12-22T17:00:00Z,18.82,13.121,7.708,,,,1.706,9.293
2014-12-22T18:00:00Z,18.885,13.124,7.738,,,,1.724,9.293
2014-12-22T19:00:00Z,18.951,13.126,7.753,,,,1.732,9.293
2014-12-22T20:00:00Z,19.017,13.129,7.795,,,,1.757,9.293
2014-12-22T21:00:00Z,19.084,13.132,7.825,,,,1.76,9.293
2014-12-22T22:00:00Z,19.151,13.134,7.841,,,,1.783,9.293
2014-12-22T23:00:00Z,19.218,13.137,7.884,,,,1.801,9.293
2014-12-23T00:00:00Z,19.29,13.139,7.911,,,,1.808,9.293
2014-12-23T01:00:00Z,19.357,13.141,7.929,,,,1.833,9.293
2014-12-23T02:00:00Z,19.43,13.144,7.972,,,,1.836,9.293
2014-12-23T03:00:00Z,19.499,13.146,8.001,,,,1.859,9.293
2014-12-23T04:00:00Z,19.566,13.149,8.017,,,,1.877,9.293
2014-12-23T05:00:00Z,19.633,13.152,8.06,,,,1.884,9.293
2014-12-23T06:00:00Z,19.7,13.154,8.089,,,,1.909,9.293
2014-12-23T07:00:00Z,19.767,13.157,8.105,,,,1.911,9.293
2014-12-23T08:00:00Z,19.834,13.159,8.147,,,,1.934,9.293
2014-12-23T09:00:00Z,19.921,13.162,8.178,,,,1.951,9.293
2014-12-23T10:00:00Z,20.026,13.164,8.192,,,,1.96,9.293
2014-12-23T11:00:00Z,20.13,13.167,8.235,,,,1.986,9.293
2014-12-23T12:00:00Z,20.232,13.17,8.268,,,,1.988,9.294
2014-12-23T13:00:00Z,20.338,13.172,8.279,,,,2.013,9.294
2014-12-23T14:00:00Z,20.436,13.175,8.322,,,,2.033,9.294
2014-12-23T15:00:00Z,20.511,13.177,8.356,,,,2.039,9.294
2014-12-23T16:00:00Z,20.575,13.18,8.367,,,,2.064,9.294
2014-12-23T17:00:00Z,20.639,13.182,8.409,,,,2.074,9.294
2014-12-23T18:00:00Z,20.705,13.185,8.443,,,,2.09,9.294
2014-12-23T19:00:00Z,20.771,13.188,8.454,,,,2.115,9.294
2014-12-23T20:00:00Z,20.837,13.19,8.497,,,,2.116,9.294
2014-12-23T21:00:00Z,20.905,13.192,8.531,,,,2.142,9.294
2014-12-23T22:00:00Z,20.973,13.195,8.542,,,,2.152,9.294
2014-12-23T23:00:00Z,21.04,13.197,8.584,,,,2.168,9.294
2014-12-24T00:00:00Z,21.113,13.2,8.621,,,,2.193,9.294
2014-12-24T01:00:00Z,21.182,13.203,8.63,,,,2.193,9.294
2014-12-24T02:00:00Z,21.255,13.205,8.672,,,,2.219,9.294
2014-12-24T03:00:00Z,21.324,13.208,8.71,,,,2.228,9.294
2014-12-24T04:00:00Z,21.391,13.21,8.717,,,,2.244,9.294
2014-12-24T05:00:00Z,21.458,13.213,8.76,,,,2.268,9.294
2014-12-24T06:00:00Z,21.524,13.215,8.798,,,,2.27,9.294
2014-12-24T07:00:00Z,21.59,13.218,8.805,,,,2.296,9.294
2014-12-24T08:00:00Z,21.657,13.221,8.847,,,,2.301,9.294
2014-12-24T09:00:00Z,21.724,13.223,8.888,,,,2.321,9.295
2014-12-24T10:00:00Z,21.79,13.226,8.892,,,,2.342,9.295
