utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-06-02T02:00:00Z,4.478,,160.902,59.475,462.267,3.32
2015-06-02T03:00:00Z,4.478,,161.237,59.605,462.292,3.32
2015-06-02T04:00:00Z,4.478,,161.592,60.186,462.651,3.32
2015-06-02T05:00:00Z,4.478,,161.972,60.205,463.44,3.321
2015-06-02T06:00:00Z,4.478,,162.937,60.436,465.776,3.321
2015-06-02T07:00:00Z,4.478,,163.662,60.45,470.841,3.321
2015-06-02T08:00:00Z,4.478,,164.132,60.465,476.657,3.321
2015-06-02T09:00:00Z,4.478,,164.942,60.475,483.308,3.321
2015-06-02T10:00:00Z,4.478,,165.872,60.486,490.628,3.394
2015-06-02T11:00:00Z,4.478,,166.267,60.496,497.905,3.721
2015-06-02T12:00:00Z,4.478,,166.652,60.516,504.581,3.803
2015-06-02T13:00:00Z,4.478,,167.022,60.525,510.683,3.806
2015-06-02T14:00:00Z,4.478,,167.412,60.535,515.511,3.808
2015-06-02T15:00:00Z,4.478,,167.787,60.555,518.546,3.809
2015-06-02T16:00:00Z,4.478,,168.112,60.566,519.692,3.809
2015-06-02T17:00:00Z,4.478,,168.522,60.576,519.952,3.809
2015-06-02T18:00:00Z,4.478,,168.992,60.586,520.017,3.809
2015-06-02T19:00:00Z,4.478,,169.612,60.715,520.017,3.809
2015-06-02T20:00:00Z,4.478,,170.507,60.736,520.017,3.809
2015-06-02T21:00:00Z,4.478,,170.947,60.916,520.017,3.809
2015-06-02T22:00:00Z,4.478,,171.272,61.066,520.017,3.809
2015-06-02T23:00:00Z,4.479,,171.622,61.076,520.017,3.809
2015-06-03T00:00:00Z,4.479,,172.007,61.096,520.017,3.809
2015-06-03T01:00:00Z,4.479,,172.312,61.105,520.017,3.81
2015-06-03T02:00:00Z,4.479,,172.652,61.115,520.017,3.81
2015-06-03T03:00:00Z,4.479,,172.987,61.205,520.032,3.81
2015-06-03T04:00:00Z,4.479,,173.332,61.486,520.341,3.81
2015-06-03T05:00:00Z,4.479,,173.682,61.591,521.503,3.81
2015-06-03T06:00:00Z,4.479,,174.092,61.605,524.729,3.81
2015-06-03T07:00:00Z,4.479,,174.707,61.615,529.771,3.81
2015-06-03T08:00:00Z,4.479,,175.485,61.625,536.15,3.81
2015-06-03T09:00:00Z,4.48,,177.27,61.904,542.971,3.81
2015-06-03T10:00:00Z,5.129,,178.122,61.914,550.451,3.81
2015-06-03T11:00:00Z,5.133,,178.573,61.936,557.736,3.81
2015-06-03T12:00:00Z,5.133,,178.997,61.945,563.98,3.81
2015-06-03T13:00:00Z,5.133,,179.412,62.244,567.127,3.81
2015-06-03T14:00:00Z,5.133,,179.787,62.254,572.031,3.81
