utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-05-28T14:00:00Z,0,,0.415,0.009,4.961,0
2015-05-28T15:00:00Z,0,,0.385,0.01,3.184,0
2015-05-28T16:00:00Z,0,,0.37,0.01,1.334,0
2015-05-28T17:00:00Z,0,,0.42,0.021,0.406,0
2015-05-28T18:00:00Z,0,,0.405,0.36,0.111,0
2015-05-28T19:00:00Z,0,,0.465,0.349,0,0
2015-05-28T20:00:00Z,0,,0.89,0.36,0,0
2015-05-28T21:00:00Z,0,,0.475,0.381,0,0
2015-05-28T22:00:00Z,0,,0.34,0.32,0,0
2015-05-28T23:00:00Z,0.001,,0.33,0.019,0,0
2015-05-29T00:00:00Z,0,,0.33,0.01,0,0
2015-05-29T01:00:00Z,0,,0.325,0.01,0,0
2015-05-29T02:00:00Z,0,,0.33,0.021,0,0
2015-05-29T03:00:00Z,0,,0.345,0.129,0,0.001
2015-05-29T04:00:00Z,0,,0.38,0.971,0.34,0
2015-05-29T05:00:00Z,0,,0.415,0.02,1.164,0
2015-05-29T06:00:00Z,0,,0.445,0.009,2.469,0
2015-05-29T07:00:00Z,0,,1.915,0.01,2.185,0
2015-05-29T08:00:00Z,0,,0.99,0.02,4.586,0
2015-05-29T09:00:00Z,0,,1.06,0.011,6.924,0
2015-05-29T10:00:00Z,0,,0.69,0.01,6.83,0.073
2015-05-29T11:00:00Z,0,,0.47,0.01,6.235,0.327
2015-05-29T12:00:00Z,0,,0.435,0.019,5.82,0.082
2015-05-29T13:00:00Z,0,,0.395,0.01,5.746,0.003
2015-05-29T14:00:00Z,0,,0.405,0.01,4.279,0.002
2015-05-29T15:00:00Z,0,,0.355,0.016,3.035,0.001
2015-05-29T16:00:00Z,0,,0.385,0.015,1.206,0
2015-05-29T17:00:00Z,0,,0.475,0.01,0.298,0
2015-05-29T18:00:00Z,0,,0.435,0.01,0.063,0
2015-05-29T19:00:00Z,0,,0.53,0.359,0,0
2015-05-29T20:00:00Z,0,,0.5,0.32,0,0
2015-05-29T21:00:00Z,0,,0.375,0.33,0,0
2015-05-29T22:00:00Z,0,,0.33,0.311,0,0
2015-05-29T23:00:00Z,0,,0.34,0.01,0,0.001
2015-05-30T00:00:00Z,0,,0.335,0.019,0,0
2015-05-30T01:00:00Z,0,,0.32,0.01,0,0
2015-05-30T02:00:00Z,0.001,,0.35,0.015,0,0
2015-05-30T03:00:00Z,0,,0.33,0.071,0.008,0
2015-05-30T04:00:00Z,0,,0.385,0.734,0.297,0
2015-05-30T05:00:00Z,0,,0.36,0.01,1.193,0
2015-05-30T06:00:00Z,0,,0.45,0.02,3.012,0
2015-05-30T07:00:00Z,0,,0.39,0.011,3.474,0
2015-05-30T08:00:00Z,0,,1.015,0.015,1.879,0
2015-05-30T09:00:00Z,0,,0.915,0.015,2.289,0
2015-05-30T10:00:00Z,0.65,,0.835,0.009,3.207,0
2015-05-30T11:00:00Z,0.004,,0.87,0.01,4.09,0
2015-05-30T12:00:00Z,0,,0.605,0.015,4.734,0
2015-05-30T13:00:00Z,0,,0.465,0.015,5.932,0
2015-05-30T14:00:00Z,0,,0.645,0.011,3.174,0
2015-05-30T15:00:00Z,0,,0.435,0.01,2.209,0
2015-05-30T16:00:00Z,0,,0.425,0.01,1.535,0
2015-05-30T17:00:00Z,0,,0.51,0.019,0.606,0
2015-05-30T18:00:00Z,0,,1.19,0.631,0.15,0
2015-05-30T19:00:00Z,0,,1.475,0.36,0,0.001
2015-05-30T20:00:00Z,0,,1.5,0.369,0,0
2015-05-30T21:00:00Z,0,,1.585,0.34,0,0
2015-05-30T22:00:00Z,0,,1.655,0.361,0,0
2015-05-30T23:00:00Z,0,,1.51,0.019,0,0
2015-05-31T00:00:00Z,0,,1.365,0.01,0,0
2015-05-31T01:00:00Z,0,,1.335,0.01,0,0
2015-05-31T02:00:00Z,0,,1.33,0.021,0,0
2015-05-31T03:00:00Z,0,,1.34,0.075,0,0
